,unique_id,date_close,date_open,oplata
686,000233899,,,
687,000227573,,,
688,000233900,,,
689,000226909,,,
690,000226741,,,
691,000227526,,,
692,000127996,,,
693,000226740,,,
694,000174325,05-09-22,19-09-22,
695,000174280,,,
696,000174333,,,
697,000116673,,,
698,000226197,,,
699,000233901,,,
700,000117300,,,
701,000174252,02-09-22,03-09-22,
702,000227231,,,
703,000233904,,,
704,000207928,,,
705,000233902,,,
706,000233903,,,
707,000227524,,,
708,000117143,12-09-22,26-09-22,
709,000225425,,,
710,000227572,,,
711,000226193,,,
712,000226194,,,
713,000192900,05-09-22,19-09-22,
714,000175074,20-09-22,29-09-22,
715,000226908,,,
716,000116662,,,
717,000236108,,,
718,000226739,,,
719,000173897,,,
720,000173999,07-09-22,08-09-22,
721,000192251,,,
722,000226191,,,
723,000215960,,,
724,000226156,,,
725,000236259,,,
726,000233905,,,
727,000233906,,,
728,000245397,,,
729,000173960,05-09-22,06-09-22,
730,000231236,,,
731,000246271,,,
732,000174261,,,
733,000174538,,,
734,000174267,,,
735,000240428,,,
736,000209070,,,
737,000233907,,,
738,000234197,,,
739,000174207,,,
740,000225426,,,
741,000229473,,,
742,000226192,,,
743,000205849,,,
744,000226199,,,
745,000224347,,,
746,000231237,,,
747,000192621,,,
748,000174324,,,
749,000174203,,,
750,000245369,,,
751,000231240,,,
752,000226198,,,
753,000178698,,,
754,000210525,,,
755,000231246,,,
756,000233908,,,
757,000233909,,,
758,000116793,,,
759,000210521,,,
760,000225423,,,
761,000117364,,,
762,000226157,,,
763,000216700,,,
764,000229476,,,
765,000226155,,,
766,000174401,,,
767,000211322,,,
768,000116928,,,
769,000173996,,,
770,000174492,,,
771,000226195,,,
772,000173949,,,
773,000174200,,,
774,000229475,,,
775,000224603,,,
776,000234189,11-08-22,13-08-22,
777,000174370,,,
778,000174242,,,
779,000235937,,,
780,000192990,,,
781,000224607,,,
782,000226910,,,
783,000174332,,,
784,000233910,,,
785,000233911,,,
786,000174609,,,
787,000174640,,,
788,000173880,,,
789,000211634,,,
790,000245396,,,
791,000174288,,,
792,000119782,,,
793,000174258,14-09-22,15-09-22,
794,000226201,,,
795,000233912,,,
796,000206517,,,
797,000233918,,,
798,000224568,,,
799,000210773,,,
800,000174239,,,
801,000226188,,,
802,000224604,,,
803,000174287,06-09-22,07-09-22,
804,000233914,,,
805,000233915,,,
806,000233913,,,
807,000234191,05-09-22,19-09-22,
808,000210741,,,
809,000173981,,,
810,000227592,06-09-22,07-09-22,
811,000173919,,,
812,000179667,,,
813,000226189,,,
814,000234196,21-09-22,29-09-22,
815,000233916,,,
816,000174331,05-09-22,06-09-22,
817,000174302,,,
818,000126183,,,
819,000234193,18-08-22,19-08-22,
820,000224322,,,
821,000174266,,,
822,000233883,,,
823,000174269,,,
824,000233917,,,
825,000122936,,,
826,000233765,,,
827,000233884,,,
828,000127224,,,
829,000234195,,,
830,000173663,,,
831,000229474,,,
832,000233885,07-09-22,30-09-22,
833,000174405,,,
834,000224348,,,
835,000174810,,,
836,000234190,,,
837,030403602,,,350
838,030404624,,,350
839,030404619,,,350
840,030441102,,,
841,030401144,,,
842,030404652,,,
843,030404650,,,
844,030404617,,,350
845,030404467,,,350
846,040105542,,,
847,040118091,,,
848,040105549,,,
