Код ОП,Бренд ОП,Область,Населённый пункт название,Адрес Офиса продаж,Режим работы,Тип строения,GPS координаты. широта,GPS координаты. долгота,Дата закрытия точки,Дата открытия точки,ТП,assigned,Оплата
10400510,МТС ФР,Костромская область,Вохма,поселок Вохма улица Советская 44,"пн-пт 09:00-18:00, перерыв 13:00-14:00; сб-вс 09:30-15:00, перерыв 13:30-14:00",Стрит,58.931391,46.759342,25-08-22,26-08-22,,,400
10400511,МТС ФР,Костромская область,Кологрив,город Кологрив улица Центральная 1,"пн-пт 09:00-18:00, перерыв 13:00-14:00; сб-вс 09:30-15:00, перерыв 13:30-14:00",Стрит,58.825479,44.31163,,,,,400
10405378,Виртуальный монобренд,Костромская область,Кострома,город Кострома улица Магистральная 20,ежедн. 10:00-22:00,ТЦ,57.741955,40.915212,,,Музафарова Валентина,,
10405377,Виртуальный монобренд,Костромская область,Кострома,город Кострома улица Ткачей 7Г,ежедн. 09:00-21:00,ТЦ,57.787234,40.921684,,,Музафарова Валентина,,
10400515,МТС ФР,Костромская область,Мантурово,город Мантурово улица Нагорная 6,"ежедн. 09:00-19:00, перерыв 13:00-13:30",Стрит,58.30882,44.757376,,,Харинова Любовь Владимировна,,650
10401508,МТС ФР,Костромская область,Мантурово,город Мантурово улица Центральная 66,"пн-пт 09:00-19:00, перерыв 14:00-14:30; сб-вс 09:00-17:00, перерыв 14:00-14:30",Стрит,58.332765,44.763113,,,Харинова Любовь Владимировна,,650
10404000,МТС ФР,Костромская область,Нея,город Нея улица Советская 13,"ежедн. 09:00-18:00, перерыв 13:00-13:30",Стрит,58.290953,43.870613,,,,,400
10405237,МТС ФР,Костромская область,Солигалич,город Солигалич улица Карла Либкнехта 1,"пн-пт 09:00-18:00, сб 09:00-15:00, вс 10:00-14:00",Стрит,59.078835,42.286117,,,,,400
10400509,МТС ФР,Костромская область,Шарья,город Шарья улица Промышленная 9А,ежедн. 09:00-20:00,ТЦ,58.373967,45.496284,,,Харинова Любовь Владимировна,,650
61502868,МТС ФР,Краснодарский край,Анапа,город Анапа улица Горького 52,ежедн. 09:00-20:00,Стрит,44.898394,37.322051,,,,,400
60112625,МТС ФР,Краснодарский край,Армавир,город Армавир улица Новороссийская 131,ежедн. 08:00-19:00,Стрит,44.994891,41.085390,03-09-22,04-09-22,,,400
60110048,МТС ФР,Краснодарский край,Белая Глина,станица Белая Глина улица Красная 118,ежедн. 09:00-18:00,Стрит,46.078016,40.872690,23-09-22,24-09-22,,,400
60118371,Виртуальный монобренд,Краснодарский край,Варениковская,станица Варениковская улица Ленина 71,ежедн. 09:00-18:00,ТЦ,45.124700,37.640866,,,,,400
61503965,МТС ФР,Краснодарский край,Верхнебаканская,поселок Верхнебаканская улица Почтовая 2,ежедн. 08:00-19:00,Стрит,44.838851,37.653618,,,,,400
60110112,МТС ФР,Краснодарский край,Выселки,станица Выселки улица Дзержинского 68,ежедн. 08:00-18:00,Стрит,45.585996,39.643857,,,,,400
60600439,МТС ФР,Краснодарский край,Гиагинская,станица Гиагинская улица Красная 290,"пн-пт 08:00-18:00, сб-вс 09:00-18:00",Стрит,44.869921,40.059481,,,,,400
60108437,МТС ФР,Краснодарский край,Горячий ключ,город Горячий ключ улица Ленина 208,"пн-пт 08:00-19:00, сб-вс 09:00-18:00",Стрит,44.634485,39.134273,,,,,400
61502911,МТС ФР,Краснодарский край,Гостагаевская,станица Гостагаевская улица Новороссийская 102,ежедн. 08:00-19:00,Стрит,45.024798,37.503058,,,,,400
60110479,МТС ФР,Краснодарский край,Динская,станица Динская улица Красная 78/1а,ежедн. 08:00-19:00,Стрит,45.217493,39.225638,,,,,400
60601002,МТС ФР,Краснодарский край,Дондуковская,станица Дондуковская улица Ленина 156А,ежедн. 09:00-17:00,ТЦ,44.877294,40.361737,,,,,400
61503529,МТС ФР,Краснодарский край,Кабардинка,поселок Кабардинка улица Революционная 67Б,ежедн. 09:00-20:00,Стрит,44.651957,37.938614,,,,,400
60114316,МТС ФР,Краснодарский край,Кавказская,станица Кавказская улица Ленина 197,ежедн. 09:00-19:00,Стрит,45.439404,40.667362,,,,,400
60110046,МТС ФР,Краснодарский край,Казанская,станица Казанская улица Красная 235а/1,ежедн. 08:00-17:45,Стрит,45.406702,40.441173,,,,,400
60116080,МТС ФР,Краснодарский край,Киевское,село Киевское улица Горького 113Е,ежедн. 08:00-18:00,Стрит,45.03338,37.883863,,,,,400
60110511,МТС ФР,Краснодарский край,Коноково,село Коноково улица Калинина 34В,ежедн. 09:00-19:00,Стрит,44.862341,41.324893,,,,,400
60111440,МТС ФР,Краснодарский край,Кореновск,город Кореновск улица Карла Маркса 318Е,ежедн. 08:00-20:00,Стрит,45.472505,39.427958,,,,,400
60118312,МТС ФР,Краснодарский край,Кореновск,город Кореновск улица Мира 95А,ежедн. 08:00-18:00,Стрит,45.467343,39.447737,,,,,400
60601001,МТС ФР,Краснодарский край,Кошехабль,аул Кошехабль улица Дружбы народов 61А,ежедн. 09:00-17:00,ТЦ,44.897532,40.484204,,,,,400
60114433,МТС ФР,Краснодарский край,Краснодар,город Краснодар улица 1 мая 169,ежедн. 09:00-19:00,Стрит,45.064411,39.021915,,,,,300
60114430,МТС ФР,Краснодарский край,Краснодар,город Краснодар улица Кирилла Россинского 45,"пн-пт 09:00-20:00, сб-вс 10:00-20:00",Стрит,45.088682,39.033515,,,,,300
60111809,МТС ФР,Краснодарский край,Краснодар,город Краснодар улица Красных Партизан 161А,ежедн. 09:00-20:00,Стрит,45.059824,38.924844,,,,,300
60118319,МТС ФР,Краснодарский край,Краснодар,город Краснодар улица Тургенева 189/4,"пн-пт 09:00-20:00, сб-вс 10:00-20:00",ТЦ,45.067634,38.964973,,,,,300
60108453,МТС ФР,Краснодарский край,Курганинск,город Курганинск улица Ленина 31,ежедн. 08:00-18:00,Стрит,44.883962,40.589531,,,,,400
60114431,МТС ФР,Краснодарский край,Марьянская,станица Марьянская улица Мира 103,ежедн. 10:00-20:00,ТЦ,45.103984,38.641364,,,,,400
60118373,Виртуальный монобренд,Краснодарский край,Мостовской,поселок городского типа Мостовской улица Первомайская 76А,ежедн. 08:00-18:00,Стрит,44.408630,40.800616,,,,,400
60108488,МТС ФР,Краснодарский край,Мостовской,поселок Мостовской улица Кооперативная 21А,ежедн. 08:00-19:00,Стрит,44.408529,40.804103,,,,,400
60108454,МТС ФР,Краснодарский край,Мостовской,поселок Мостовской улица Ленина 18,"пн-пт 09:00-19:00, сб-вс 09:00-18:00",Стрит,44.408595,40.792361,,,,,400
61502952,МТС ФР,Краснодарский край,Нижнебаканская,станица Нижнебаканская улица Ленина 32,ежедн. 08:00-19:00,Стрит,44.866911,37.865742,,,,,400
60114511,МТС ФР,Краснодарский край,Новоминская,станица Новоминская улица Ленина 47а,ежедн. 08:00-19:00,Стрит,46.317559,38.951669,,,,,400
61502867,МТС ФР,Краснодарский край,Новороссийск,город Новороссийск проспект Дзержинского 174,ежедн. 08:00-19:00,Стрит,44.687686,37.780719,21-09-22,11-10-22,,,300
61503924,МТС ФР,Краснодарский край,Новороссийск,город Новороссийск улица Героев Десантников 2Ж,ежедн. 08:00-20:00,Стрит,44.685795,37.780640,,,,,300
61502877,МТС ФР,Краснодарский край,Новороссийск,город Новороссийск улица Советов 40,ежедн. 09:00-20:00,Стрит,44.719762,37.775693,,,,,300
60116105,МТС ФР,Краснодарский край,Новотитаровская,станица Новотитаровская улица Ленина 163,ежедн. 09:00-19:00,ТЦ,45.237443,38.975547,,,,,400
60116153,МТС ФР,Краснодарский край,Новотитаровская,станица Новотитаровская улица Советская 64А,ежедн. 08:00-19:00,Стрит,45.236878,38.971298,,,,,400
60110082,МТС ФР,Краснодарский край,Отрадная,станица Отрадная улица Первомайская 79А/4,ежедн. 08:00-18:00,Стрит,44.397867,41.517141,,,,,400
60116021,МТС ФР,Краснодарский край,Пластуновская,станица Пластуновская улица Красная 188,ежедн. 08:30-19:00,Стрит,45.289861,39.258347,,,,,400
60108519,МТС ФР,Краснодарский край,Северская,станица Северская улица Комарова 11,ежедн. 08:00-19:00,Стрит,44.847502,38.678056,,,,,400
60118370,Виртуальный монобренд,Краснодарский край,Славянск-на-Кубани,город Славянск-на-Кубани улица Совхозная 90/3,ежедн. 08:15-18:00,Стрит,45.266529,38.107013,,,,,400
61503945,МТС ФР,Краснодарский край,Смоленская,станица Смоленская улица Мира 86,ежедн. 08:00-20:00,Стрит,44.786460,38.798210,,,,,400
60115095,МТС ФР,Краснодарский край,Советская,станица Советская улица Ленина 292/1,ежедн. 08:00-18:00,ТЦ,44.782906,41.171441,,,,,400
60118320,МТС ФР,Краснодарский край,Староминская,станица Староминская улица Кольцовская 17/1,ежедн. 08:00-19:00,Стрит,46.539309,39.063066,,,,,400
60113638,МТС ФР,Краснодарский край,Старощербиновская,станица Старощербиновская улица Первомайская 125,"пн-пт 08:00-20:00, сб-вс 08:00-19:00",ТЦ,46.632114,38.654749,,,,,400
61503487,МТС ФР,Краснодарский край,Тамань,станица Тамань улица Пушкина 1/6,ежедн. 09:00-19:00,Стрит,45.215060,36.719500,10-09-22,19-09-22,,,400
60110047,МТС ФР,Краснодарский край,Тбилисская,станица Тбилисская улица Октябрьская 179Л,ежедн. 08:00-18:00,Стрит,45.363762,40.189754,,,,,400
60113121,МТС ФР,Краснодарский край,Удобная,станица Удобная улица Ленина 3,вт-вс 08:00-18:00,Стрит,44.202711,41.556769,,,,,400
60111301,МТС ФР,Краснодарский край,Успенское,село Успенское улица Крупской 35,ежедн. 08:00-18:00,Стрит,44.827990,41.376411,,,,,400
60118492,Виртуальный монобренд,Краснодарский край,Холмская,станица Холмская улица Мира 10,ежедн. 08:00-18:00,ТЦ,44.846736,38.392980,,,,,400
60118411,Виртуальный монобренд,Краснодарский край,Юровка,село Юровка Улица Мира 2,пн-сб 09:00-18:00,ТЦ,45.114900,37.421623,,,,,400
60600443,МТС ФР,Краснодарский край,Яблоновский,поселок Яблоновский улица Гагарина 149/2,"пн-пт 10:00-19:00, сб-вс 10:00-18:00",Стрит,44.993321,38.929724,07-09-22,17-09-22,,,400
80209767,МТС ФР,Красноярский край,Абан,поселок городского типа Абан улица Советская 79,пн-сб 10:00-19:00,ТЦ,56.67511,96.06820,,,,,450
80209491,МТС ФР,Красноярский край,Агинское,село Агинское улица Советская 108,пн-сб 09:00-18:00,Стрит,55.260043,94.915688,,,,,450
80212424,МТС ФР,Красноярский край,Балахта,поселок городского типа Балахта улица 60 лет Октября 13,пн-сб 10:00-19:00,Стрит,55.377547,91.617472,,,,,450
80204985,МТС ФР,Красноярский край,Богучаны,село Богучаны улица Октябрьская 110,"пн-пт 09:00-18:00, перерыв 13:00-14:00; сб 09:00-15:00",Стрит,58.384829,97.466860,,,,,450
80213606,МТС ФР,Красноярский край,Бородино,город Бородино улица Маяковского 40,ежедн. 10:00-19:00,Стрит,55.902495,94.901782,,,,,450
80212937,Виртуальный монобренд,Красноярский край,Дзержинское,село Дзержинское улица Кироова 6,"пн-пт 09:00-18:00, перерыв 13:00-14:00; сб-вс 09:00-16:00, перерыв 13:00-14:00",Стрит,56.838514,95.224839,,,,,450
80210410,МТС ФР,Красноярский край,Емельяново,поселок городского типа Емельяново улица Московская 196,пн-сб 09:00-18:00,ТЦ,56.169865,92.683229,,,,,450
80204437,МТС ФР,Красноярский край,Ермаковское,село Ермаковское улица Карла Маркса 38,"пн-сб 09:00-17:00, перерыв 12:00-13:00",Стрит,53.277827,92.402696,,,,,450
80204514,МТС ФР,Красноярский край,Железногорск,город Железногорск проспект Ленинградский 1Б,"ежедн. 10:00-20:00, перерыв 13:00-14:00",ТЦ,56.230154,93.548311,02-09-22,25-09-22,,,450
80205075,МТС ФР,Красноярский край,Железногорск,город Железногорск улица Ленина 38,"ежедн. 09:00-19:00, перерыв 13:00-14:00",Стрит,56.255231,93.532973,,,,,450
80210412,МТС ФР,Красноярский край,Заозерный,город Заозерный улица 40 лет Октября 48,"пн-сб 09:00-19:00, перерыв 13:00-14:00; вс 09:00-18:00, перерыв 13:00-14:00",ТЦ,55.966276,94.702070,,,,,450
80210492,МТС ФР,Красноярский край,Идринское,село Идринское улица Октябрьская 124,"пн-пт 09:00-18:00, сб-вс 09:00-14:00",ТЦ,54.371640,92.130525,02-09-22,30-09-22,,,450
80205825,МТС ФР,Красноярский край,Иланский,поселок городского типа Иланский улица Красная 72,ежедн. 10:00-15:00,Стрит,56.238350,96.065479,,,,,450
80212837,Виртуальный монобренд,Красноярский край,Казачинское,село Казачинское улица Советская 103,"пн-пт 09:00-18:00, сб 09:00-15:00",Стрит,57.698550,93.284837,,,,,450
80212827,МТС ФР,Красноярский край,Каратузское,село Каратузское улица Советская 46,"пн-сб 10:00-18:00, перерыв 13:00-14:00",ТЦ,53.602892,92.863158,,,,,450
80208848,МТС ФР,Красноярский край,Козулька,поселок городского типа Козулька улица Вокзальная 11Г,"пн-пт 10:00-19:00, сб 10:00-17:00",Стрит,56.164403,91.389957,,,,,450
80212804,МТС ФР,Красноярский край,Краснотуранск,село Краснотуранск улица Ленина 59,"пн-сб 10:00-18:00, перерыв 13:00-14:00",Стрит,54.316285,91.568901,,,,,450
80210411,МТС ФР,Красноярский край,Красноярск,"город Красноярск аэропорт Аэропорт ""Емельяново"" 1/1","ежедн. 09:00-18:00, перерыв 13:00-14:00",ТУ,56.180830,92.483203,,,,,350
80210407,МТС ФР,Красноярский край,Красноярск,город Красноярск проспект Металлургов 53г,пн-сб 09:00-18:00,ТЦ,56.046760,92.948799,02-09-22,10-09-22,,,350
80204447,МТС ФР,Красноярский край,Красноярск,город Красноярск улица 60 лет Образования СССР 14,ежедн. 10:00-20:00,Стрит,56.117369,92.929705,,,,,350
80212423,МТС ФР,Красноярский край,Красноярск,город Красноярск улица 60 лет Образования СССР 24,ежедн. 10:00-20:00,ТЦ,56.115228,92.918643,,,,,350
80205213,МТС ФР,Красноярский край,Красноярск,город Красноярск улица Говорова 57,ежедн. 10:00-20:00,ТЦ,55.996741,93.023385,,,,,350
80212426,МТС ФР,Красноярский край,Красноярск,город Красноярск улица Мужества 10,ежедн. 10:00-20:00,ТЦ,56.034496,92.884345,,,,,350
80209010,МТС ФР,Красноярский край,Красноярск,город Красноярск улица Новосибирская 7,пн-сб 10:00-19:00,ТЦ,56.017697,92.821687,,,,,350
80204762,МТС ФР,Красноярский край,Минусинск,город Минусинск улица Абаканская 51В,"пн-сб 09:00-18:00, перерыв 13:00-14:00",Стрит,53.693693,91.672353,,,,,450
80205839,МТС ФР,Красноярский край,Назарово,город Назарово улица 30 лет ВЛКСМ 53/1,ежедн. 09:00-17:00,Стрит,56.005843,90.408874,,,,,450
80206986,МТС ФР,Красноярский край,Нижний Ингаш,поселок городского типа Нижний Ингаш улица Ленина 79,"пн-сб 09:00-18:00, перерыв 13:00-14:00",Стрит,56.204205,96.546628,,,,,450
80209141,МТС ФР,Красноярский край,Нижняя Пойма,поселок городского типа Нижняя Пойма улица Дзержинского 5,"ежедн. 10:00-18:00, перерыв 12:00-13:00",ТЦ,56.161513,97.204248,,,,,450
80210413,МТС ФР,Красноярский край,Новоселово,село Новоселово улица Возрождения 7,пн-сб 09:00-18:00,ТУ,55.003738,90.967276,,,,,450
80300285,МТС ФР,Красноярский край,Норильск,город Норильск проспект Ленинский 3,"пн-сб 11:00-19:00, вс 12:00-18:00",ТЦ,69.342352,88.208717,,,,,450
80212832,Виртуальный монобренд,Красноярский край,Саянский,поселок городского типа Саянский улица Строителей 3а,пн-сб 10:00-18:00,Стрит,55.550143,94.71009,,,,,450
80206638,МТС ФР,Красноярский край,Северо-Енисейский,поселок городского типа Северо-Енисейский улица Карла Маркса 1,"пн-пт 11:00-18:00, сб 11:00-16:00, вс 11:00-15:00",Стрит,60.383946,93.042022,,,,,450
80205077,МТС ФР,Красноярский край,Сосновоборск,город Сосновоборск улица Весенняя 12,"ежедн. 10:00-18:00, перерыв 14:00-14:30",Стрит,56.116282,93.331681,,,,,450
80204438,МТС ФР,Красноярский край,Сосновоборск,город Сосновоборск улица Ленинского комсомола 4,"ежедн. 10:00-20:00, перерыв 14:00-15:00",ТЦ,56.123104,93.338669,06-09-22,09-09-22,,,450
80210408,МТС ФР,Красноярский край,Сухобузимское,село Сухобузимское улица Комсомольская 22,"пн-чт 09:00-18:00, вс 09:00-18:00",Стрит,56.501778,93.279588,,,,,450
80212404,МТС ФР,Красноярский край,Тура,поселок городского типа Тура улица имени 50 лет газеты Советская Эвенкия 24,пн-сб 10:00-19:00,Стрит,64.277250,100.220459,,,,,450
80204424,МТС ФР,Красноярский край,Шушенское,село Шушенское улица Полукольцевая 1,"ежедн. 09:00-18:00, перерыв 12:00-13:00",Стрит,53.327939,91.942629,,,,,450
70205059,МТС ФР,Курганская область,Альменево,село Альменево улица Ленина 88,"пн-пт 09:00-17:00, перерыв 13:00-14:00; сб 09:00-14:00",Стрит,54.944058,63.573884,,,,,400
70203632,МТС ФР,Курганская область,Белозерское,село Белозерское улица Карла Маркса 7,"пн-пт 09:00-18:00, перерыв 13:00-14:00",ТЦ,55.822322,65.589052,,,,,400
70203550,МТС ФР,Курганская область,Варгаши,поселок Варгаши улица Социалистическая 96А,"ежедн. 09:00-18:00, перерыв 13:00-14:00",Стрит,55.376207,65.813282,,,,,400
70203631,МТС ФР,Курганская область,Глядянское,село Глядянское улица Ленина 93,"пн-пт 09:00-18:00, перерыв 13:00-14:00",Стрит,54.906499,65.087509,,,,,400
70203548,МТС ФР,Курганская область,Звериноголовское,село Звериноголовское улица Чапаева 47,"пн-пт 09:00-18:00, перерыв 13:00-14:00",Стрит,54.461660,64.850596,03-10-22,04-10-22,,,400
70204997,МТС ФР,Курганская область,Каргаполье,поселок Каргаполье улица Пушкина 7,"пн-пт 09:00-17:00, перерыв 13:00-14:00; сб 09:00-14:00",Стрит,55.952142,64.437018,,,,,400
70205057,МТС ФР,Курганская область,Катайск,город Катайск улица М.С. Шумилова 1а,"пн-пт 09:00-18:00, перерыв 13:00-14:00",Стрит,56.284147,62.582579,,,,,400
70203547,МТС ФР,Курганская область,Кетово,село Кетово улица Космонавтов 42,"пн-пт 09:00-18:00, перерыв 13:00-14:00; сб-вс 09:00-17:00, перерыв 13:00-14:00",Стрит,55.344756,65.335360,,,,,400
70205090,Виртуальный монобренд,Курганская область,Курган,город Курган микрорайон 6 33,ежедн. 09:00-20:00,ТЦ,55.466876,65.290076,,,,,300
70203272,МТС ФР,Курганская область,Курган,город Курган улица Карбышева 1,ежедн. 10:00-19:00,Стрит,55.480913,65.320858,,,,,300
70203633,МТС ФР,Курганская область,Курган,город Курган улица Конституции 58а,ежедн. 08:30-18:00,Стрит,55.423113,65.262492,,,,,300
70201935,МТС ФР,Курганская область,Курган,город Курган улица Рихарда Зорге 41,ежедн. 09:00-20:00,ТЦ,55.439340,65.317271,,,,,300
70202007,МТС ФР,Курганская область,Курган,город Курган улица Собанина 1,ежедн. 08:30-18:00,ТУ,55.439537,65.316893,,,,,300
70205294,МТС ФР,Курганская область,Куртамыш,город Куртамыш улица Ленина 33,ежедн. 09:00-18:00,ТЦ,55.423156,65.262531,,,,,400
70203557,МТС ФР,Курганская область,Макушино,село Макушино улица Карла Маркса 65,"пн-пт 09:00-18:00, перерыв 13:00-14:00",ТЦ,55.206951,67.249894,,,,,400
70201125,МТС ФР,Курганская область,Мишкино,поселок Мишкино улица Телеграфная 1,"пн-пт 09:00-17:00, перерыв 12:00-13:00; сб 09:00-14:00, перерыв 12:00-13:00",Стрит,55.337297,63.916950,,,,,400
70205072,Виртуальный монобренд,Курганская область,Мокроусово,село Мокроусово улица Советская 38,"пн-пт 09:00-17:00, сб 10:00-15:00",Стрит,55.808595,66.772169,,,,,400
70203556,МТС ФР,Курганская область,Петухово,город Петухово улица Железнодорожная 12А,"пн-пт 09:00-19:00, перерыв 13:00-14:00; сб-вс 09:00-17:00, перерыв 13:00-14:00",ТЦ,55.070979,67.882286,,,,,400
70205068,МТС ФР,Курганская область,Сафакулево,село Сафакулево улица 60 лет СССР 24,"пн-пт 09:00-17:00, сб-вс 10:00-14:00",Стрит,54.988954,62.538904,,,,,400
70201122,МТС ФР,Курганская область,Целинное,село Целинное улица Бухарова 43,"пн-пт 09:00-17:00, сб 09:00-14:00",Стрит,54.501131,63.666421,,,,,400
70205084,Виртуальный монобренд,Курганская область,Частоозерье,село Частоозерье улица Октябрьская 132,"пн-пт 09:00-17:00, сб 10:00-15:00",ТЦ,55.5678,67.905158,,,,,400
70203546,МТС ФР,Курганская область,Шатрово,село Шатрово улица Коммунальная 1,"пн-пт 09:00-17:00, перерыв 13:00-14:00; сб 09:00-14:00",ТЦ,56.519188,64.632276,01-10-22,02-10-22,,,400
70201121,МТС ФР,Курганская область,Шумиха,город Шумиха улица Ленина 66,"пн-пт 09:00-18:00, сб 09:00-17:00, вс 09:00-14:00",Стрит,55.226085,63.288510,,,,,400
70201123,МТС ФР,Курганская область,Щучье,город Щучье площадь Победы 8,"пн-пт 09:00-17:00, сб 09:00-14:00",Стрит,55.208507,62.747450,,,,,400
70201126,МТС ФР,Курганская область,Юргамыш,поселок Юргамыш улица Ленина 47,"пн-пт 09:00-17:00, перерыв 13:00-14:00; сб 09:00-14:00",Стрит,55.374452,64.457441,,,,,400
20404336,МТС ФР,Курская область,Дмитриев,город Дмитриев улица Республиканская 8,"пн-сб 09:00-18:00, вс 09:00-15:00",Стрит,52.127553,35.084736,,,ДС Муранова Анастасия,,
20403471,МТС ФР,Курская область,Железногорск,город Железногорск улица Ленина 48/1,"пн-сб 10:00-20:00, вс 10:00-18:00",Стрит,52.336476,35.353232,,,ДС Муранова Анастасия,,
20401349,МТС ФР,Курская область,Железногорск,город Железногорск улица Ленина 92,ежедн. 09:00-20:00,ТЦ,52.359414,35.343002,08-09-22,15-09-22,ДС Муранова Анастасия,,
20405580,Виртуальный монобренд,Курская область,Касторное,поселок городского типа Касторное улица Ленина 145,ежедн. 09:00-20:00,Стрит,51.831737,38.148216,,,ДС Муранова Анастасия,,
20401373,МТС ФР,Курская область,Курск,город Курск улица Союзная 51,ежедн. 08:00-20:00,Стрит,51.745905,36.251843,,,ДС Муранова Анастасия,,
20405578,Виртуальный монобренд,Курская область,Курск,город Курск улица Харьковская 3,ежедн. 09:00-21:00,ТЦ,51.674114,36.145359,,,ДС Муранова Анастасия,,
20405725,Виртуальный монобренд,Курская область,Льгов,город Льгов улица Гагарина 3А,ежедн. 09:00-19:00,ТУ,51.685261,35.277074,,,ДС Муранова Анастасия,,
20401485,МТС ФР,Курская область,Обоянь,город Обоянь улица Ленина 19б,"пн-пт 09:00-18:00, сб-вс 09:00-15:00",Стрит,51.210547,36.269093,,,ДС Муранова Анастасия,,
20405522,МТС ФР,Курская область,Пристень,поселок городского типа Пристень улица Мирная 1а,"пн-пт 09:00-18:00, сб-вс 09:00-17:00",ТУ,51.239096,36.697042,,,ДС Муранова Анастасия,,
20405486,МТС ФР,Курская область,Прямицыно,поселок городского типа Прямицыно улица Октябрьская 179а,"пн-пт 09:00-18:00, сб-вс 09:00-17:00",Стрит,51.656999,35.938664,,,ДС Муранова Анастасия,,
20401406,МТС ФР,Курская область,Рыльск,город Рыльск площадь Советская 9,"пн-пт 09:00-18:00, сб 09:00-17:00, вс 09:00-15:00",ТЦ,51.567019,34.694521,,,ДС Муранова Анастасия,,
20405573,Виртуальный монобренд,Курская область,Суджа,город Суджа улица 1 Мая 27,ежедн. 09:00-20:00,Стрит,51.193713,35.278674,,,ДС Муранова Анастасия,,
20405576,Виртуальный монобренд,Курская область,Теткино,поселок городского типа Теткино улица Ленина 88,"пн-пт 09:00-19:00, сб 09:00-17:00",Стрит,51.281156,34.283088,,,ДС Муранова Анастасия,,
20403472,МТС ФР,Курская область,Щигры,город Щигры улица Ленина 20,"пн-сб 09:00-18:00, вс 09:00-15:00",Стрит,51.870672,36.912933,,,ДС Муранова Анастасия,,
20504499,МТС ФР,Липецкая область,Задонск,город Задонск улица Карла Маркса 107,ежедн. 09:00-18:00,Стрит,52.394978,38.917614,,,ДС Ермакова Людмила,,
20502112,МТС ФР,Липецкая область,Задонск,город Задонск улица Крупской 55,ежедн. 09:00-19:00,ТЦ,52.393373,38.922265,,,ДС Ермакова Людмила,,
20506592,МТС ФР,Липецкая область,Лев Толстой,поселок Лев Толстой улица Льва Толстого 47А,ежедн. 09:00-18:00,Стрит,53.210313,39.449289,,,ДС Ермакова Людмила,,
20506603,Виртуальный монобренд,Липецкая область,Липецк,город Липецк площадь Мира 4,ежедн. 09:00-20:00,Стрит,52.590016,39.616188,,,ДС Ермакова Людмила,,
20504889,МТС ФР,Липецкая область,Липецк,город Липецк улица Космонавтов 98,ежедн. 09:00-21:00,ТЦ,52.608399,39.545258,,,ДС Ермакова Людмила,,
20506595,МТС ФР,Липецкая область,Липецк,город Липецк улица Краснозаводская 23,ежедн. 08:00-17:00,Стрит,52.544878,39.577750,,,ДС Ермакова Людмила,,
20506502,Виртуальный монобренд,Липецкая область,Липецк,город Липецк улица Терешковой 35Б,ежедн. 10:00-21:00,ТЦ,52.611144,39.574506,,,ДС Ермакова Людмила,,
20506598,МТС ФР,Липецкая область,Липецк,город Липецк улица Титова 10,ежедн. 09:00-21:00,ТЦ,52.617509,39.556874,,,ДС Ермакова Людмила,,
20504129,МТС ФР,Липецкая область,Тербуны,поселок Тербуны улица Октябрьская 50Б,"пн-сб 09:00-18:00, вс 09:00-14:00",Стрит,52.149045,38.286484,,,ДС Ермакова Людмила,,
20502078,МТС ФР,Липецкая область,Усмань,город Усмань улица Вельяминова 47,ежедн. 08:00-18:00,Стрит,52.043796,39.734677,,,ДС Ермакова Людмила,,
20506642,МТС ФР,Липецкая область,Усмань,город Усмань улица Ленина 101,ежедн. 08:00-18:00,Стрит,52.062060,39.728416,,,ДС Ермакова Людмила,,
20506588,МТС ФР,Липецкая область,Хлевное,село Хлевное улица Свободы 46,ежедн. 09:00-19:00,Стрит,52.1944,39.0902,,,ДС Ермакова Людмила,,
20501334,МТС ФР,Липецкая область,Чаплыгин,город Чаплыгин улица Советская 33Ж,"ПН-ПТ 09:00-18:00, СБ-ВС 09:00-16:00",Стрит,53.239159,39.969317,,,ДС Ермакова Людмила,,
90600582,МТС ФР,Магаданская область,Магадан,город Магадан улица Ленина 3,ежедн. 09:00-19:00,ТУ,59.56773,150.80903,,,,,450
90600600,Виртуальный монобренд,Магаданская область,Магадан,город Магадан улица Пролетарская 66,"пн-пт 10:00-18:00, перерыв 14:00-15:00; сб-вс 12:00-17:00, перерыв 14:00-15:00",ТЦ,59.557059,150.824531,,,,,450
90600182,МТС ФР,Магаданская область,Ола,поселок Ола улица Советская 43,"пн-пт 10:00-19:00, сб-вс 10:00-18:00",Стрит,59.580600,151.294853,,,,,450
90600586,Виртуальный монобренд,Магаданская область,Омсукчан,поселок Омсукчан улица Ленина 33,"пн-пт 11:00-18:00, перерыв 14:00-15:00; сб-вс 12:00-17:00, перерыв 14:00-15:00",Стрит,62.516726,155.774428,,,,,450
90600186,МТС ФР,Магаданская область,Палатка,поселок Палатка улица Ленина 7,ежедн. 10:00-19:00,Стрит,60.102248,150.934104,,,,,450
90600185,МТС ФР,Магаданская область,Сокол,поселок Сокол улица Гагарина 10,ежедн. 10:00-19:00,Стрит,59.916512,150.749734,,,,,450
90600179,МТС ФР,Магаданская область,Сусуман,город Сусуман улица Советская 10,пн-сб 11:00-19:00,Стрит,62.779316,148.148037,,,,,450
90600583,Виртуальный монобренд,Магаданская область,Ягодное,поселок Ягодное улица Транспортная 26,"ежедн. 11:00-19:00, перерыв 14:00-15:00",Стрит,62.519624,149.620726,,,,,450
